source,target,relation,weight
김우창,한국시와형이상,wrote,1
김우창,궁핍한시대의시인,wrote,1
김우창,한국현대소설의형성,wrote,1
김우창,한용운의소설,wrote,1
김우창,윤동주의시,wrote,1
김우창,북간도,wrote,1
김우창,금강,wrote,1
김우창,떠돌이의시,wrote,1
김우창,피천득론,wrote,1
김우창,김수영론,wrote,1
김우창,소설가구보씨,wrote,1
김우창,정현종론,wrote,1
김우창,김종길시론,wrote,1
김우창,진실과언어,wrote,1
김우창,김윤식비평사,wrote,1
김우창,문학과현실,wrote,1
김우창,주체의형식으로서의문학,wrote,1
김우창,문학적송신,wrote,1
김우창,세계와문학의세계,wrote,1
김우창,말과현실,wrote,1
김우창,나와우리,wrote,1
김우창,물음에대하여,wrote,1
김우창,하버마스비판이론,wrote,1
한국시와형이상,한용운,analyzes,1
한국시와형이상,엘리엇,cites,1
한국시와형이상,그리어슨,cites,1
한국시와형이상,보들레르,cites,1
한국시와형이상,에즈라파운드,cites,1
궁핍한시대의시인,한용운,analyzes,1
궁핍한시대의시인,골드만,cites,1
궁핍한시대의시인,파스칼,cites,1
궁핍한시대의시인,사르트르,cites,1
궁핍한시대의시인,브레히트,cites,1
한국현대소설의형성,데카르트,cites,1
한국현대소설의형성,루카치,cites,1
한국현대소설의형성,라이트밀스,cites,1
한용운의소설,한용운,analyzes,1
한용운의소설,데카르트,cites,1
한용운의소설,루카치,cites,1
한용운의소설,이안와트,cites,1
한용운의소설,메를로퐁티,cites,1
한용운의소설,막스베버,cites,1
한용운의소설,화이트헤드,cites,1
윤동주의시,윤동주,analyzes,1
윤동주의시,키르케고르,cites,1
윤동주의시,괴테,cites,1
윤동주의시,실러,cites,1
윤동주의시,데카르트,cites,1
북간도,안수길,analyzes,1
금강,신동엽,analyzes,1
금강,엘리엇,cites,1
떠돌이의시,서정주,analyzes,1
피천득론,피천득,analyzes,1
피천득론,소로,cites,1
피천득론,워즈워스,cites,1
피천득론,솔제니친,cites,1
김수영론,김수영,analyzes,1
김수영론,헤겔,cites,1
김수영론,데카르트,cites,1
김수영론,소크라테스,cites,1
김수영론,브레히트,cites,1
소설가구보씨,최인훈,analyzes,1
소설가구보씨,엘리엇,cites,1
소설가구보씨,헨리제임스,cites,1
정현종론,정현종,analyzes,1
정현종론,데카르트,cites,1
정현종론,발레리,cites,1
정현종론,하이데거,cites,1
정현종론,니체,cites,1
정현종론,빈스방거,cites,1
김종길시론,김종길,analyzes,1
김종길시론,매클리시,cites,1
김종길시론,말라르메,cites,1
김종길시론,발레리,cites,1
김종길시론,엘리엇,cites,1
진실과언어,김종길,analyzes,1
진실과언어,엘리엇,cites,1
진실과언어,매튜아놀드,cites,1
진실과언어,막스베버,cites,1
김윤식비평사,김윤식,analyzes,1
김윤식비평사,레비스트로스,cites,1
김윤식비평사,프로이트,cites,1
김윤식비평사,골드만,cites,1
문학과현실,유종호,analyzes,1
문학과현실,존던,cites,1
문학과현실,오카쿠라가쿠조,cites,1
주체의형식으로서의문학,딜타이,cites,1
주체의형식으로서의문학,카렐코시크,cites,1
문학적송신,케네스버크,cites,1
문학적송신,아폴리네르,cites,1
세계와문학의세계,에머슨,cites,1
세계와문학의세계,스탕달,cites,1
세계와문학의세계,플라톤,cites,1
세계와문학의세계,하이데거,cites,1
세계와문학의세계,푸코,cites,1
말과현실,소쉬르,cites,1
말과현실,메를로퐁티,cites,1
말과현실,라캉,cites,1
말과현실,뷔퐁,cites,1
말과현실,폴클로델,cites,1
나와우리,홉스,cites,1
나와우리,데카르트,cites,1
나와우리,윌리엄제임스,cites,1
나와우리,조지허버트미드,cites,1
나와우리,메를로퐁티,cites,1
나와우리,하이데거,cites,1
나와우리,사르트르,cites,1
나와우리,한나아렌트,cites,1
나와우리,루카치,cites,1
나와우리,골드만,cites,1
나와우리,플라톤,cites,1
나와우리,니체,cites,1
물음에대하여,존듀이,cites,1
물음에대하여,토머스쿤,cites,1
물음에대하여,사르트르,cites,1
물음에대하여,마르쿠제,cites,1
물음에대하여,하버마스,cites,1
물음에대하여,하이데거,cites,1
하버마스비판이론,하버마스,cites,1
하버마스비판이론,호르크하이머,cites,1
하버마스비판이론,아도르노,cites,1
하버마스비판이론,마르쿠제,cites,1
하버마스비판이론,에리히프롬,cites,1
하버마스비판이론,찰스퍼스,cites,1
하버마스비판이론,하이데거,cites,1
하버마스비판이론,한나아렌트,cites,1
하버마스비판이론,헤겔,cites,1
하버마스비판이론,홉스,cites,1
하버마스비판이론,마키아벨리,cites,1
하버마스비판이론,토머스모어,cites,1
하버마스비판이론,아우구스티누스,cites,1
하버마스비판이론,리히트하임,cites,1
