id,label,type,category,citation_count
김우창,김우창,critic,critic,
한국시와형이상,한국시와형이상,essay,essay,
궁핍한시대의시인,궁핍한시대의시인,essay,essay,
한국현대소설의형성,한국현대소설의형성,essay,essay,
한용운의소설,한용운의소설,essay,essay,
윤동주의시,윤동주의시,essay,essay,
북간도,북간도,essay,essay,
금강,금강,essay,essay,
떠돌이의시,떠돌이의시,essay,essay,
피천득론,피천득론,essay,essay,
김수영론,김수영론,essay,essay,
소설가구보씨,소설가구보씨,essay,essay,
정현종론,정현종론,essay,essay,
김종길시론,김종길시론,essay,essay,
진실과언어,진실과언어,essay,essay,
김윤식비평사,김윤식비평사,essay,essay,
문학과현실,문학과현실,essay,essay,
주체의형식으로서의문학,주체의형식으로서의문학,essay,essay,
문학적송신,문학적송신,essay,essay,
세계와문학의세계,세계와문학의세계,essay,essay,
말과현실,말과현실,essay,essay,
나와우리,나와우리,essay,essay,
물음에대하여,물음에대하여,essay,essay,
하버마스비판이론,하버마스비판이론,essay,essay,
한용운,한용운,korean_author,poet,
윤동주,윤동주,korean_author,poet,
서정주,서정주,korean_author,poet,
김수영,김수영,korean_author,poet,
정현종,정현종,korean_author,poet,
신동엽,신동엽,korean_author,poet,
안수길,안수길,korean_author,novelist,
최인훈,최인훈,korean_author,novelist,
피천득,피천득,korean_author,essayist,
김종길,김종길,korean_author,critic,
김윤식,김윤식,korean_author,critic,
유종호,유종호,korean_author,critic,
데카르트,데카르트,philosopher,modern_philosophy,6
하이데거,하이데거,philosopher,phenomenology,5
사르트르,사르트르,philosopher,existentialism,4
엘리엇,엘리엇,philosopher,literary_criticism,4
메를로퐁티,메를로퐁티,philosopher,phenomenology,4
루카치,루카치,philosopher,critical_theory,3
골드만,골드만,philosopher,critical_theory,3
하버마스,하버마스,philosopher,critical_theory,2
한나아렌트,한나아렌트,philosopher,political_philosophy,2
발레리,발레리,philosopher,literary_criticism,2
막스베버,막스베버,philosopher,sociology,2
마르쿠제,마르쿠제,philosopher,critical_theory,2
헤겔,헤겔,philosopher,german_idealism,2
니체,니체,philosopher,modern_philosophy,2
플라톤,플라톤,philosopher,ancient_philosophy,2
홉스,홉스,philosopher,political_philosophy,2
브레히트,브레히트,philosopher,literary_criticism,2
프로이트,프로이트,philosopher,psychoanalysis,1
소쉬르,소쉬르,philosopher,linguistics,1
라캉,라캉,philosopher,psychoanalysis,1
키르케고르,키르케고르,philosopher,existentialism,1
딜타이,딜타이,philosopher,hermeneutics,1
토머스쿤,토머스쿤,philosopher,philosophy_of_science,1
존듀이,존듀이,philosopher,pragmatism,1
파스칼,파스칼,philosopher,religious_philosophy,1
보들레르,보들레르,philosopher,literary_criticism,1
말라르메,말라르메,philosopher,literary_criticism,1
에즈라파운드,에즈라파운드,philosopher,literary_criticism,1
그리어슨,그리어슨,philosopher,literary_criticism,1
헨리제임스,헨리제임스,philosopher,literary_criticism,1
이안와트,이안와트,philosopher,literary_criticism,1
화이트헤드,화이트헤드,philosopher,process_philosophy,1
빈스방거,빈스방거,philosopher,phenomenological_psychiatry,1
레비스트로스,레비스트로스,philosopher,structuralism,1
푸코,푸코,philosopher,poststructuralism,1
호르크하이머,호르크하이머,philosopher,critical_theory,1
아도르노,아도르노,philosopher,critical_theory,1
에리히프롬,에리히프롬,philosopher,psychoanalysis,1
찰스퍼스,찰스퍼스,philosopher,semiotics,1
괴테,괴테,philosopher,literary,1
실러,실러,philosopher,aesthetics,1
소크라테스,소크라테스,philosopher,ancient_philosophy,1
매튜아놀드,매튜아놀드,philosopher,literary_criticism,1
에머슨,에머슨,philosopher,transcendentalism,1
스탕달,스탕달,philosopher,literary,1
케네스버크,케네스버크,philosopher,rhetoric,1
아폴리네르,아폴리네르,philosopher,literary,1
소로,소로,philosopher,transcendentalism,1
워즈워스,워즈워스,philosopher,romanticism,1
솔제니친,솔제니친,philosopher,literary,1
폴클로델,폴클로델,philosopher,literary,1
뷔퐁,뷔퐁,philosopher,natural_history,1
윌리엄제임스,윌리엄제임스,philosopher,pragmatism,1
조지허버트미드,조지허버트미드,philosopher,social_psychology,1
마키아벨리,마키아벨리,philosopher,political_philosophy,1
토머스모어,토머스모어,philosopher,political_philosophy,1
아우구스티누스,아우구스티누스,philosopher,medieval_philosophy,1
리히트하임,리히트하임,philosopher,intellectual_history,1
카렐코시크,카렐코시크,philosopher,marxism,1
매클리시,매클리시,philosopher,literary_criticism,1
존던,존던,philosopher,metaphysical_poetry,1
오카쿠라가쿠조,오카쿠라가쿠조,philosopher,aesthetics,1
라이트밀스,라이트밀스,philosopher,sociology,1
